s,p,label,label2,label3
https://dblp.org/streams/conf/aant,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Conference on Algorithmic Algebra and Number Theory,Conference on Algorithmic Algebra and Number Theory,Conference on Algorithmic Algebra and Number Theory
https://dblp.org/streams/conf/aapei,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Adjustable Autonomy and Physical Embodied Intelligence (AAPEI),Workshop on Adjustable Autonomy and Physical Embodied Intelligence (AAPEI),Workshop on Adjustable Autonomy and Physical Embodied Intelligence (AAPEI)
https://dblp.org/streams/conf/aarhus,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Decennial Aarhus Conference on Critical Alternatives,Decennial Aarhus Conference on Critical Alternatives,Decennial Aarhus Conference on Critical Alternatives
https://dblp.org/streams/conf/ab,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Algebraic Biology (AB),Algebraic Biology (AB),Algebraic Biology (AB)
https://dblp.org/streams/conf/abc,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Conference on Activity and Behavior Computing (ABC),International Conference on Activity and Behavior Computing (ABC),International Conference on Activity and Behavior Computing (ABC)
https://dblp.org/streams/conf/abials,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Anticipatory Behavior in Adaptive Learning Systems (ABiALS),Anticipatory Behavior in Adaptive Learning Systems (ABiALS),Anticipatory Behavior in Adaptive Learning Systems (ABiALS)
https://dblp.org/streams/conf/abict,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Workshop on Advances in Business ICT (ABICT),International Workshop on Advances in Business ICT (ABICT),International Workshop on Advances in Business ICT (ABICT)
https://dblp.org/streams/conf/abmb,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Workshop on Aspect-Based and Model-Based Separation of Concerns in Software Systems (ABMB),International Workshop on Aspect-Based and Model-Based Separation of Concerns in Software Systems (ABMB),International Workshop on Aspect-Based and Model-Based Separation of Concerns in Software Systems (ABMB)
https://dblp.org/streams/conf/abp,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop Automatische Bewertung von Programmieraufgaben (ABP),Workshop Automatische Bewertung von Programmieraufgaben (ABP),Workshop Automatische Bewertung von Programmieraufgaben (ABP)
https://dblp.org/streams/conf/ac,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Advanced Courses (AC),Advanced Courses (AC),Advanced Courses (AC)
https://dblp.org/streams/conf/aca,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Conference on Advanced Computer Architecture (ACA),Conference on Advanced Computer Architecture (ACA),Conference on Advanced Computer Architecture (ACA)
https://dblp.org/streams/conf/acai,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Conference on Advances in Computing and Artificial Intelligence (ACAI),International Conference on Advances in Computing and Artificial Intelligence (ACAI),International Conference on Advances in Computing and Artificial Intelligence (ACAI)
https://dblp.org/streams/conf/acai2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,"International Conference on Algorithms, Computing and Artificial Intelligence (ACAI)","International Conference on Algorithms, Computing and Artificial Intelligence (ACAI)","International Conference on Algorithms, Computing and Artificial Intelligence (ACAI)"
https://dblp.org/streams/conf/acai3,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,European Advanced Course on AI (ACAI),European Advanced Course on AI (ACAI),European Advanced Course on AI (ACAI)
https://dblp.org/streams/conf/acal,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Australian Conference on Artificial Life (ACAL),Australian Conference on Artificial Life (ACAL),Australian Conference on Artificial Life (ACAL)
https://dblp.org/streams/conf/acalci,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Australasian Conference on Artificial Life and Computational Intelligence (ACALCI),Australasian Conference on Artificial Life and Computational Intelligence (ACALCI),Australasian Conference on Artificial Life and Computational Intelligence (ACALCI)
https://dblp.org/streams/conf/acan,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Workshop on Agent-based Complex Automated Negotiations (ACAN),International Workshop on Agent-based Complex Automated Negotiations (ACAN),International Workshop on Agent-based Complex Automated Negotiations (ACAN)
https://dblp.org/streams/conf/acasd,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Workshop on Advances in Civil Aviation Systems Development (ACASD),International Workshop on Advances in Civil Aviation Systems Development (ACASD),International Workshop on Advances in Civil Aviation Systems Development (ACASD)
https://dblp.org/streams/conf/acc,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Advances in Computing and Communications (ACC),Advances in Computing and Communications (ACC),Advances in Computing and Communications (ACC)
https://dblp.org/streams/conf/accas,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Asian Conference on Computer Aided Surgery (ACCAS),Asian Conference on Computer Aided Surgery (ACCAS),Asian Conference on Computer Aided Surgery (ACCAS)
https://dblp.org/streams/conf/accat,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Applied and Computational Category Theory (ACCAT),Workshop on Applied and Computational Category Theory (ACCAT),Workshop on Applied and Computational Category Theory (ACCAT)
https://dblp.org/streams/conf/accc,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Asia Conference on Computers and Communications  (ACCC),Asia Conference on Computers and Communications  (ACCC),Asia Conference on Computers and Communications  (ACCC)
https://dblp.org/streams/conf/accessnets,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Conference on Access Networks (AccessNets),International Conference on Access Networks (AccessNets),International Conference on Access Networks (AccessNets)
https://dblp.org/streams/conf/acct,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Workshop on Algebraic and Combinatorial Coding Theory (ACCT),International Workshop on Algebraic and Combinatorial Coding Theory (ACCT),International Workshop on Algebraic and Combinatorial Coding Theory (ACCT)
https://dblp.org/streams/conf/accurate,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Accurate Scientific Computations,Accurate Scientific Computations,Accurate Scientific Computations
https://dblp.org/streams/conf/accv,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Asian Conference on Computer Vision (ACCV),Asian Conference on Computer Vision (ACCV),Asian Conference on Computer Vision (ACCV)
https://dblp.org/streams/conf/acda,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,SIAM Conference on Applied and Computational Discrete Algorithms (ACDA),SIAM Conference on Applied and Computational Discrete Algorithms (ACDA),SIAM Conference on Applied and Computational Discrete Algorithms (ACDA)
https://dblp.org/streams/conf/acdc,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Automated Control for Datacenters and Clouds (ACDC),Workshop on Automated Control for Datacenters and Clouds (ACDC),Workshop on Automated Control for Datacenters and Clouds (ACDC)
https://dblp.org/streams/conf/ace,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Australasian Computing Education Conference (ACE),Australasian Computing Education Conference (ACE),Australasian Computing Education Conference (ACE)
https://dblp.org/streams/conf/aces,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Conference on Advances in Cybersecurity (ACeS),International Conference on Advances in Cybersecurity (ACeS),International Conference on Advances in Cybersecurity (ACeS)
https://dblp.org/streams/conf/acfie,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Annual Conference of Fuzzy Information and Engineering (ACFIE),Annual Conference of Fuzzy Information and Engineering (ACFIE),Annual Conference of Fuzzy Information and Engineering (ACFIE)
https://dblp.org/streams/conf/acg,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Advances in Computer Games (ACG),Advances in Computer Games (ACG),Advances in Computer Games (ACG)
https://dblp.org/streams/conf/achi,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Conference on Advances in Computer-Human Interaction (ACHI),International Conference on Advances in Computer-Human Interaction (ACHI),International Conference on Advances in Computer-Human Interaction (ACHI)
https://dblp.org/streams/conf/acid,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Algorithms and Complexity in Durham (ACiD),Algorithms and Complexity in Durham (ACiD),Algorithms and Complexity in Durham (ACiD)
https://dblp.org/streams/conf/acii,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Affective Computing and Intelligent Interaction (ACII),Affective Computing and Intelligent Interaction (ACII),Affective Computing and Intelligent Interaction (ACII)
https://dblp.org/streams/conf/aciids,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Asian Conference on Intelligent Information and Database Systems (ACIIDS),Asian Conference on Intelligent Information and Database Systems (ACIIDS),Asian Conference on Intelligent Information and Database Systems (ACIIDS)
https://dblp.org/streams/conf/acil,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Advances in Computational Intelligence and Learning (ACIL),Advances in Computational Intelligence and Learning (ACIL),Advances in Computational Intelligence and Learning (ACIL)
https://dblp.org/streams/conf/acirs,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Asia-Pacific Conference on Intelligent Robot Systems (ACIRS),Asia-Pacific Conference on Intelligent Robot Systems (ACIRS),Asia-Pacific Conference on Intelligent Robot Systems (ACIRS)
https://dblp.org/streams/conf/acis,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Australasian Conference on Information Systems (ACIS),Australasian Conference on Information Systems (ACIS),Australasian Conference on Information Systems (ACIS)
https://dblp.org/streams/conf/ACISicis,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,IEEE/ACIS International Conference on Computer and Information Science (ICIS),IEEE/ACIS International Conference on Computer and Information Science (ICIS),IEEE/ACIS International Conference on Computer and Information Science (ICIS)
https://dblp.org/streams/conf/acisp,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Australasian Conference on Information Security and Privacy (ACISP),Australasian Conference on Information Security and Privacy (ACISP),Australasian Conference on Information Security and Privacy (ACISP)
https://dblp.org/streams/conf/acit,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,"Automation, Control, and Information Technology (ACIT)","Automation, Control, and Information Technology (ACIT)","Automation, Control, and Information Technology (ACIT)"
https://dblp.org/streams/conf/acit2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Conference on Applied Computing and Information Technology (ACIT),International Conference on Applied Computing and Information Technology (ACIT),International Conference on Applied Computing and Information Technology (ACIT)
https://dblp.org/streams/conf/acit3,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Arab Conference on Information Technology (ACIT),Arab Conference on Information Technology (ACIT),Arab Conference on Information Technology (ACIT)
https://dblp.org/streams/conf/acit4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Conference on Advanced Computer Information Technologies (ACIT),International Conference on Advanced Computer Information Technologies (ACIT),International Conference on Advanced Computer Information Technologies (ACIT)
https://dblp.org/streams/conf/acity,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Conference on Advances in Computing and Information Technology (ACITY),International Conference on Advances in Computing and Information Technology (ACITY),International Conference on Advances in Computing and Information Technology (ACITY)
https://dblp.org/streams/conf/acivs,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Advanced Concepts for Intelligent Vision Systems Conference (ACIVS),Advanced Concepts for Intelligent Vision Systems Conference (ACIVS),Advanced Concepts for Intelligent Vision Systems Conference (ACIVS)
https://dblp.org/streams/conf/acl-alr,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Asian Language Resources (ALR),Workshop on Asian Language Resources (ALR),Workshop on Asian Language Resources (ALR)
https://dblp.org/streams/conf/acl-alta,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Australasian Language Technology Association Workshop (ALTA),Australasian Language Technology Association Workshop (ALTA),Australasian Language Technology Association Workshop (ALTA)
https://dblp.org/streams/conf/acl-alw,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Online Abuse and Harms (WOAH),Workshop on Online Abuse and Harms (WOAH),Workshop on Online Abuse and Harms (WOAH)
https://dblp.org/streams/conf/acl-bsnlp,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Balto-Slavic Natural Language Processing (BSNLP),Workshop on Balto-Slavic Natural Language Processing (BSNLP),Workshop on Balto-Slavic Natural Language Processing (BSNLP)
https://dblp.org/streams/conf/acl-bucc,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Building and Using Comparable Corpora (BUCC),Workshop on Building and Using Comparable Corpora (BUCC),Workshop on Building and Using Comparable Corpora (BUCC)
https://dblp.org/streams/conf/acl-cl4lc,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Computational Linguistics for Linguistic Complexity (CL4LC),Workshop on Computational Linguistics for Linguistic Complexity (CL4LC),Workshop on Computational Linguistics for Linguistic Complexity (CL4LC)
https://dblp.org/streams/conf/acl-clinicalnlp,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Clinical Natural Language Processing Workshop (ClinicalNLP),Clinical Natural Language Processing Workshop (ClinicalNLP),Clinical Natural Language Processing Workshop (ClinicalNLP)
https://dblp.org/streams/conf/acl-clpsych,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Computational Linguistics and Clinical Psychology (CLPsych),Workshop on Computational Linguistics and Clinical Psychology (CLPsych),Workshop on Computational Linguistics and Clinical Psychology (CLPsych)
https://dblp.org/streams/conf/acl-cmcl,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Cognitive Modeling and Computational Linguistics (CMCL),Workshop on Cognitive Modeling and Computational Linguistics (CMCL),Workshop on Cognitive Modeling and Computational Linguistics (CMCL)
https://dblp.org/streams/conf/acl-codeswitch,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Computational Approaches to Linguistic Code-Switching (CALCS),Workshop on Computational Approaches to Linguistic Code-Switching (CALCS),Workshop on Computational Approaches to Linguistic Code-Switching (CALCS)
https://dblp.org/streams/conf/acl-convai,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on NLP for Conversational AI (CovAI),Workshop on NLP for Conversational AI (CovAI),Workshop on NLP for Conversational AI (CovAI)
https://dblp.org/streams/conf/acl-cvsc,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Continuous Vector Space Models and their Compositionality (CVSC),Workshop on Continuous Vector Space Models and their Compositionality (CVSC),Workshop on Continuous Vector Space Models and their Compositionality (CVSC)
https://dblp.org/streams/conf/acl-deelio,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Knowledge Extraction and Integration for Deep Learning Architectures; Deep Learning Inside Out (DeeLIO),Workshop on Knowledge Extraction and Integration for Deep Learning Architectures; Deep Learning Inside Out (DeeLIO),Workshop on Knowledge Extraction and Integration for Deep Learning Architectures; Deep Learning Inside Out (DeeLIO)
https://dblp.org/streams/conf/acl-deeplo,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Deep Learning Approaches for Low-Resource Natural Language Processing (DeepLo),Workshop on Deep Learning Approaches for Low-Resource Natural Language Processing (DeepLo),Workshop on Deep Learning Approaches for Low-Resource Natural Language Processing (DeepLo)
https://dblp.org/streams/conf/acl-dialdoc,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Document-grounded Dialogue and Conversational Question Answering (DialDoc),Workshop on Document-grounded Dialogue and Conversational Question Answering (DialDoc),Workshop on Document-grounded Dialogue and Conversational Question Answering (DialDoc)
https://dblp.org/streams/conf/acl-dmtw,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Deep Machine Translation Workshop (DMTW),Deep Machine Translation Workshop (DMTW),Deep Machine Translation Workshop (DMTW)
https://dblp.org/streams/conf/acl-figlang,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Figurative Language Processing (Fig-Lang),Workshop on Figurative Language Processing (Fig-Lang),Workshop on Figurative Language Processing (Fig-Lang)
https://dblp.org/streams/conf/acl-gems,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,GEometrical Models of Natural Language Semantics (GEMS),GEometrical Models of Natural Language Semantics (GEMS),GEometrical Models of Natural Language Semantics (GEMS)
https://dblp.org/streams/conf/acl-insights,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,First Workshop on Insights from Negative Results in NLP (Insights),First Workshop on Insights from Negative Results in NLP (Insights),First Workshop on Insights from Negative Results in NLP (Insights)
https://dblp.org/streams/conf/acl-iwp,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Workshop on Paraphrasing (IWP),International Workshop on Paraphrasing (IWP),International Workshop on Paraphrasing (IWP)
https://dblp.org/streams/conf/acl-jssp,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Joint Symposium on Semantic Processing (JSSP),Joint Symposium on Semantic Processing (JSSP),Joint Symposium on Semantic Processing (JSSP)
https://dblp.org/streams/conf/acl-lchange,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Computational Approaches to Historical Language Change (LChange),Workshop on Computational Approaches to Historical Language Change (LChange),Workshop on Computational Approaches to Historical Language Change (LChange)
https://dblp.org/streams/conf/acl-ldl,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Linked Data in Linguistics (LDL),Workshop on Linked Data in Linguistics (LDL),Workshop on Linked Data in Linguistics (LDL)
https://dblp.org/streams/conf/acl-linc,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Workshop on Linguistically Interpreted Corpora (LINC),International Workshop on Linguistically Interpreted Corpora (LINC),International Workshop on Linguistically Interpreted Corpora (LINC)
https://dblp.org/streams/conf/acl-louhi,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Workshop on Health Text Mining and Information Analysis (Louhi),International Workshop on Health Text Mining and Information Analysis (Louhi),International Workshop on Health Text Mining and Information Analysis (Louhi)
https://dblp.org/streams/conf/acl-mrqa,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Machine Reading for Question Answering (MRQA),Workshop on Machine Reading for Question Answering (MRQA),Workshop on Machine Reading for Question Answering (MRQA)
https://dblp.org/streams/conf/acl-multiling,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Summarization and Summary Evaluation Across Source Types and Genres (MultiLing),Workshop on Summarization and Summary Evaluation Across Source Types and Genres (MultiLing),Workshop on Summarization and Summary Evaluation Across Source Types and Genres (MultiLing)
